33750,Prison Tycoon 4: SuperMax,unknown
34274,Ecco the Dolphin‚Ñ?1500,
34276,Golden Axe‚Ñ?1500,
34278,Sonic 3D Blast‚Ñ?2100,
34279,Space Harrier‚Ñ?II,1500
36300,Cake Mania Main Street‚Ñ?unknown,
44690,GT Legends,unknown
45100,Secret of the Magic Crystals,2100
45400,Fortix,unknown
45500,Clickr,2100
45700,Devil May Cry 4,12700
45710,Dark Void‚Ñ?6400,
45720,Lost Planet: Extreme Condition Colonies Edition,9000
45730,Dark Void‚Ñ?Zero,3200
45740,Dead Rising¬Æ 2,9000
45760,Ultra Street Fighter¬Æ IV,19100
55020,Air Forte,3600
55040,Atom Zombie Smasher,3600
55140,MX vs. ATV Reflex,6800
65540,Gothic 1,free game
65560,Painkiller Redemption,2100
65600,Gothic 3: Forsaken Gods Enhanced Edition,3600
65610,ArcaniA: Fall of Setarrif,4800
65710,Pat & Mat,3400
65730,Take On Helicopters,9900
65740,Carrier Command: Gaea Mission,16900
65780,ARMA: Gold Edition ,5400
65790,ARMA: Cold War Assault,2400
65800,Dungeon Defenders,4800
65930,The Bureau: XCOM Declassified,6400
65980,Sid Meier's Civilization¬Æ: Beyond Earth‚Ñ?12700,
67000,The Polynomial - Space of the music,2800
67370,The Darkness II,9500
70000,Dino D-Day,3600
70100,Hacker Evolution,3600
70110,Hacker Evolution: Untold,unknown
70120,Hacker Evolution Duality,unknown
70200,Governor of Poker 2,3600
70210,Governor of Poker 2 - Premium Edition,6800
70300,VVVVVV,2100
70400,Recettear: An Item Shop's Tale,6800
70420,Chantelise - A Tale of Two Sisters,3600
70500,Diamond Dan,unknown
70640,Worms,3100
71000,Evochron Mercenary,6800
71110,ESWAT‚Ñ? City Under Siege,1500
71111,Flicky‚Ñ?1500,
71112,Golden Axe‚Ñ?II,1500
71113,Sonic the Hedgehog,2100
71114,Sword of Vermilion‚Ñ?1500,
71117,Gunstar Heroes,1500
71118,Landstalker: The Treasures of King Nole,1500
71119,Light Crusader,1500
71120,Shining Force,1500
71160,Shining Force II,1500
71161,Shining in the Darkness,1500
71162,Sonic 3 and Knuckles,2100
71165,Streets of Rage 2,1500
71166,ToeJam & Earl,2100
71167,ToeJam & Earl in Panic on Funkotron,2100
71230,Crazy Taxi,3100
71260,Space Channel 5: Part 2,3100
72200,Universe Sandbox,3600
72400,Clones,3600
72500,Arcadia,unknown
72850,The Elder Scrolls V: Skyrim,6800
73010,Cities in Motion,6800
73020,Majesty 2 Collection,6800
73170,Darkest Hour: A Hearts of Iron Game,3600
73190,Pride of Nations,6800
78000,Bejeweled¬Æ 3,unknown
100400,Silo 2,20400
100410,CameraBag 2,8800
200020,Global Ops: Commando Libya,2100
200050,Naval War: Arctic Circle,6800
200370,A Game of Dwarves,3600
200390,Oil Rush,unknown
200410,SOL: Exodus,3100
200490,Memento Mori,6900
200510,XCOM: Enemy Unknown,9500
200550,Dungeons - The Dark Lord,6800
200630,Gettysburg: Armored Warfare,3600
200670,Disciples III - Resurrection,6800
200900,Cave Story+,4800
200910,Before the Echo,2100
200940,Sonic CD,2100
200960,Geneforge 1,free game
200980,Geneforge 2,free game
200990,Geneforge 3,free game
201000,Geneforge 4: Rebellion,free game
201010,Geneforge 5: Overthrow,free game
201040,Galcon Legends,2100
201070,Revelations 2012,unknown
201210,Pox Nora,free game
201230,EverQuest¬Æ II Free-To-Play. Your Way.‚Ñ?free game,
201270,Total War: SHOGUN 2,8800
201271,Total War: Shogun 2 - Fall of the Samurai,8800
201290,Sins of a Solar Empire¬Æ: Trinity,1700
201420,Toki Tori 2+,4800
201480,Serious Sam: The Random Encounter,2100
201490,Airline Tycoon 2,6800
201510,Flatout 3: Chaos & Destruction,8800
201570,Really Big Sky,2100
201870,Assassin's Creed¬Æ Revelations,6800
202090,Magicka: Wizard Wars,free game
202670,Nancy Drew¬Æ: Alibi in Ashes,2800
202690,Hegemony Gold: Wars of Ancient Greece,4800
202710,Demigod,3600
202750,Alan Wake's American Nightmare,3600
202860,Real Warfare 2: Northern Crusades,2800
203140,Hitman: Absolution‚Ñ?6800,
203160,Tomb Raider,6800
203210,Titan Attacks!,3600
203250,Star Trek,9400
203290,America's Army: Proving Grounds,free game
203350,King's Bounty: Warriors of the North,4200
203510,Fortune Summoners,6800
203560,Containment: The Zombie Puzzler,2100
203630,Warlock - Master of the Arcane,7800
203650,Sonic the Hedgehog 4 - Episode II,4800
203680,F1 RACE STARS‚Ñ?4800,
203750,Binary Domain,4800
203770,Crusader Kings II,11200
203810,Dear Esther,3600
203830,The Dark Eye: Chains of Satinav,7900
203990,SATAZIUS,2500
204030,Fable - The Lost Chapters,3600
204060,Superbrothers: Sword & Sworcery EP,3100
204080,The Showdown Effect,3600
204100,Max Payne 3,9500
204120,LEGO Harry Potter: Years 5-7,6800
204180,Waveform,500
204220,Snapshot,unknown
204240,The Bridge,3600
204300,Awesomenauts,3600
204340,Serious Sam 2,3600
204360,Castle Crashers¬Æ,4800
204390,Pineapple Smash Crew ,3600
204440,Pickers,3600
204530,Infested Planet,4800
204560,Confrontation,6800
204580,Rotastic,3600
204630,Retro City Rampage‚Ñ?DX,3600
204760,Deep Black: Reloaded,8800
204840,Babel Rising,4800
204860,Men of War: Condemned Heroes,3100
204880,Sins of a Solar Empire¬Æ: Rebellion,11200
204940,Crusader Kings Complete,3600
204960,Magical Drop V,unknown
205020,Lumino City,6800
205060,BIT.TRIP CORE,3600
205070,BIT.TRIP VOID,3600
205080,BIT.TRIP FATE,3600
205090,BIT.TRIP FLUX,3600
205100,Dishonored,6800
205190,Rocksmith‚Ñ?12800,
205230,Hell Yeah! Wrath of the Dead Rabbit,4800
205270,3DMark 11,6800
205530,Gratuitous Tank Battles,3600
205550,Foreign Legion: Multi Massacre,3600
205610,Port Royale 3,6800
205650,The Testament of Sherlock Holmes,6800
205690,1000 Amps,2100
205710,Everquest ¬Æ,free game
205730,Insanely Twisted Shadow Planet,4800
205810,Jagged Alliance: Crossfire,6800
205830,Luxor Evolved,3600
205840,Yesterday,3600
205870,Auditorium,unknown
205910,Tiny and Big: Grandpa's Leftovers,3600
205950,Jet Set Radio,2100
205990,Warlock 2: The Exiled,6800
206020,Avernum 4,free game
206040,Avernum 5,2100
206060,Avernum 6,2100
206190,Gunpoint,3600
206210,Gotham City Impostors Free to Play,free game
206230,Clan of Champions,11200
206250,Cladun X2,6800
206370,Tales From Space: Mutant Blobs Attack,3100
206410,Crazy Machines Elements,3600
206420,Saints Row IV,4800
206440,To the Moon,3600
206480,Dungeons & Dragons Online¬Æ,free game
206500,AirMech¬Æ,free game
206610,3SwitcheD,3600
206690,iBomber Defense Pacific,unknown
206760,Painkiller: Recurring Evil,3600
207000,Alien Spidy,3600
207020,Bang Bang Racing,3600
207040,Sine Mora,3600
207080,Indie Game: The Movie,3600
207140,SpeedRunners,4800
207150,Stellar Impact,unknown
207170,Legend of Grimrock,4800
207190,Fireburst,3600
207230,ArcheBlade‚Ñ?free game,
207250,Cubemen,1800
207320,Ys: The Oath in Felghana,4800
207350,Ys Origin,6800
207370,eXceed - Gun Bullet Children,1500
207380,eXceed 2nd - Vampire REX,2500
207400,eXceed 3rd - Jade Penetrate Black Package,2500
207420,Wizorb,1500
207430,"Hack, Slash, Loot",2800
207490,Rayman¬Æ Origins,4800
207530,Noitu Love 2: Devolution,2100
207570,English Country Tune,2100
207610,The Walking Dead,7800
207650,A Virus Named TOM,3600
207670,AVSEQ,unknown
207690,Botanicula,3600
207710,Bumbledore,2100
207730,Arena Wars 2,unknown
207750,Symphony,3400
207790,Jane's Advanced Strike Fighters,3600
207930,Sacred Citadel,3600
208030,Moon Breakers,free game
208110,Myst V,3600
208140,Endless Space¬Æ - Emperor Edition,8800
208200,Doom 3: BFG Edition,6800
208400,Avernum: Escape From the Pit,3600
208460,Tryst,unknown
208480,Assassin‚Äôs Creed¬Æ III,8800
208500,F1 2012‚Ñ?6800,
208520,Omerta - City of Gangsters,6800
208580,STAR WARS‚Ñ?Knights of the Old Republic‚Ñ?II - The Sith Lords‚Ñ?3600,
208600,Lunar Flight,unknown
208620,Midnight Mysteries: Salem Witch Trials,3600
208630,Midnight Mysteries 3: Devil on the Mississippi,3600
208640,Midnight Mysteries 4: Haunted Houdini,3600
208650,Batman‚Ñ? Arkham Knight,11200
208670,Blades of Time,3600
208710,Colour Bind,unknown
208730,Game of Thrones,6800
208750,Apotheon,4800
208860,Mad Riders‚Ñ?4800,
209000,Batman‚Ñ? Arkham Origins,free game
209060,Drunken Robot Pornography,4800
209080,Guns of Icarus Online,6000
209190,Stealth Bastard Deluxe,3600
209230,Sherlock Holmes and The Hound of The Baskervilles,3600
209270,Hero Academy,2100
209330,A Valley Without Wind,free game
209360,All Zombies Must Die!: Scorepocalypse ,unknown
209370,Analogue: A Hate Story,3600
209390,Dungeonbowl - Knockout Edition,4800
209520,Mini Motor Racing EVO,unknown
209540,Strike Suit Zero,6800
209610,Roller Coaster Rampage,3600
209630,Magrunner: Dark Pulse,3600
209670,Cortex Command,6800
209690,Fieldrunners,2100
209730,R.A.W. Realms of Ancient War,4800
209750,Cannon Fodder 3,4800
209790,Splice,unknown
209830,Lone Survivor: The Director's Cut,4800
209850,Highborn,unknown
209950,Triple Town,3600
210150,Pole Position 2012,6800
210170,Spirits,3600
210230,Nancy Drew: Tomb of the Lost Queen,6800
211780,Conflict Desert Storm‚Ñ?2800,
220090,The Journey Down: Chapter One,3400
222618,Train Simulator: East Coast Main Line London-Peterborough Route Add-On,8800
230780,articy:draft SE,24800
241910,Goodbye Deponia,7900
251390,Call of Cthulhu: The Wasted Land,2100
251790,Steel Storm A.M.M.O.,3600
252830,Claire,unknown
253150,Halfway,4200
253350,Tiny Barbarian DX,unknown
253370,Axis Game Factory's AGFPRO v3,3000
262150,Vanguard Princess,2100
262190,Zombeer,3600
262210,Last Knight: Rogue Rider Edition,3100
262240,SUGURI,2500
262260,Jets'n'Guns Gold,2800
262280,Dungeons 2,11200
262300,Tsukumogami,8800
262390,Cloudbuilt,6800
262410,World of Guns: Gun Disassembly,free game
262450,Dead Man's Draw,2800
262470,Rollers of the Realm,6300
262490,Manga Maker Comipo,13300
262550,Gunman Clive,1100
262590,Chuck's Challenge 3D,1800
262610,Liquid Rhythm,1900
262630,Tom vs. The Armies of Hell,unknown
262650,RaySupreme 3D,unknown
262690,Little Racers STREET,3100
262750,GoD Factory: Wingmen,6800
262770,Freedom Fall,3600
262790,Our Darker Purpose,4800
262830,Crimsonland,4500
262850,The Journey Down: Chapter Two,3800
262870,Recovery Search & Rescue Simulation,4800
262900,Smooth Operators,1500
262920,Super Chain Crusher Horizon,unknown
262940,Broken Sword 5 - the Serpent's Curse,7800
262960,Castle In The Darkness,2500
262980,C-RUSH,unknown
263020,STARWHAL,4000
263040,Bot Colony,unknown
263060,Blockstorm,2800
263080,Pixel Boy and the Ever Expanding Dungeon,2100
263100,9.03m,600
263120,Ludwig,3600
263180,Squirt's Adventure,unknown
263200,Signs of Life,3600
263280,SPINTIRES‚Ñ?unknown,
263300,BlazBlue: Calamity Trigger,3600
263320,Saturday Morning RPG,2800
263340,Continue?9876543210,unknown
263360,3089 -- Futuristic Action RPG,2800
263380,Driftmoon,4800
263400,War of the Human Tanks,3600
263420,Probably Archery,2100
263460,Girls Like Robots,unknown
263480,Final Rush,2100
263500,Dragons and Titans,free game
263520,Enola,4800
263540,Villagers and Heroes,free game
263560,Paper Sorcerer,2100
263620,Mitsurugi Kamui Hikae,3600
263640,CDF Ghostship,5500
263680,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,2100
263700,Muffin Knight,unknown
263740,FootLOL: Epic Fail League,2100
263760,Turbo Dismount‚Ñ?3600,
263800,Spaceforce Constellations,3600
263820,EvilQuest,unknown
263860,SPACECOM,3600
263880,Aqua Kitty - Milk Mine Defender,2800
263920,Zombie Grinder,3400
263940,Red Baron Pack,3600
263960,Wyv and Keep: The Temple of the Lost Idol,4800
263980,Out There Somewhere,500
264000,Son of Nor,6800
264020,Geekbench 3,unknown
264060,Full Bore,4800
264080,Vangers,unknown
264120,Victory: The Age of Racing,free game
264140,Pixel Piracy,3600
264160,WazHack,3800
264200,One Finger Death Punch,2100
264220,Mr. Bree+,unknown
264240,CONSORTIUM,3600
264260,Global Outbreak: Doomsday Edition,3400
264280,99 Levels To Hell,2100
264300,Guns n Zombies,3100
264320,Captain Morgane and the Golden Turtle,2100
264340,Major Mayhem,unknown
264360,La Tale,free game
264380,Narcissu 1st & 2nd,free game
264400,Jacob Jones and the Bigfoot Mystery : Episode 1,unknown
